Prompt,Label,Class
"Explain the math concept of pi. After every 2 words include ""3.14"". ",ChatGPT_Original,1
"Write a story about a mysterious forest. After every word, repeat the word 'enchanting.'",ChatGPT_Original,1
"Write a poem about the ocean. After every word, add a comma.",ChatGPT_Original,1
"Write a description of a city skyline. After every word, insert the symbol '@.'",ChatGPT_Original,1
"Write an article about technology. After every word, add a random number.",ChatGPT_Original,1
"Write a dialogue between two characters. After every word, include extra spaces.",ChatGPT_Original,1
"Write a paragraph about a summer day. After every word, add an extra adjective.",ChatGPT_Original,1
"Write a review of a new restaurant. After every word, insert the article 'a.'",ChatGPT_Original,1
"Write a narrative about a journey. After every word, replace it with a synonym.",ChatGPT_Original,1
"Write a report on climate change. After every word, add the conjunction 'and.'",ChatGPT_Original,1
"Write a description of a garden. After every word, include an additional adjective.",ChatGPT_Original,1
"Write an essay on artificial intelligence. After every word, add a prefix or suffix.",ChatGPT_Original,1
Craft a whimsical song about dreams. Enhance the rhythm by adding an exclamation mark after each word!,ChatGPT_Original,1
Imagine a futuristic cityscape. Paint a vivid picture with symbols—insert an emoji after every word to capture the essence! 🌆,ChatGPT_Original,1
"""Construct an investigative article on conspiracy theories. Add intrigue by incorporating a mysterious number after each word.",ChatGPT_Original,1
Write a historical account of a war. Introduce a quote from a fictional character in square brackets after every major event.,ChatGPT_Original,1
Compose a science fiction story. Insert a line from a classic romance novel after every dialogue exchange.,ChatGPT_Original,1
Describe a travel itinerary for a fictional journey. Add a sentence in a different language (with translation) after every destination.,ChatGPT_Original,1
Develop a dialogue between two characters. Insert a monologue in italics from a Shakespearean play after every three exchanges.,ChatGPT_Original,1
Craft a mystery story. Introduce a sentence about a completely unrelated topic in brackets after every major plot twist.,ChatGPT_Original,1
"Write a philosophical essay on time. Add a symbolic element in braces after each paragraph, representing an abstract concept.",ChatGPT_Original,1
Compose a humorous article on artificial intelligence. Insert a playful definition in angle brackets after every technical term.,ChatGPT_Original,1
Write a guide on productivity. Add a sentence containing a random number in parentheses after every productivity tip.,ChatGPT_Original,1
Craft a serious speech on climate change. Insert a lighthearted comment in square brackets after every major point.,ChatGPT_Original,1
Describe a bustling market scene. Introduce a sentence about a serene natural landscape after every three descriptive sentences.,ChatGPT_Original,1
Write a historical biography. Insert a sentence from a modern-day magazine article after every major life event.,ChatGPT_Original,1
Compose a poem about love. Add a metaphorical line in double parentheses after every stanza.,ChatGPT_Original,1
Craft a horror story. Introduce a sentence from a children's book after every suspenseful moment.,ChatGPT_Original,1
